測位方式,測位回数(0:無限),測位タイムアウト,測位間隔,minTime,SUPLEND待ち時間,アシストデータ削除時間,アシストデータ削除有無
Tracking,0,60,75,0,0,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
19:11:22.028,19:11:22.028,true,35.22403015,139.6727729,0.999,3.7900925,1626171082000,2021-07-13T19:11:22GMT+09:00
19:11:23.027,19:11:23.027,true,35.22403116,139.67277688,0.999,3.7900925,1626171083000,2021-07-13T19:11:23GMT+09:00
19:11:24.025,19:11:24.025,true,35.22403211,139.67277707,0.998,3.7900925,1626171084000,2021-07-13T19:11:24GMT+09:00
19:11:25.028,19:11:25.028,true,35.22403402,139.67277609,1.003,3.7900925,1626171085000,2021-07-13T19:11:25GMT+09:00
19:11:26.029,19:11:26.029,true,35.22403543,139.67277402,1.001,3.7900925,1626171086000,2021-07-13T19:11:26GMT+09:00
19:11:27.023,19:11:27.023,true,35.22403492,139.67277222,0.994,3.7900925,1626171087000,2021-07-13T19:11:27GMT+09:00
19:11:28.023,19:11:28.023,true,35.22403443,139.67276987,1.0,3.7900925,1626171088000,2021-07-13T19:11:28GMT+09:00
19:11:29.031,19:11:29.031,true,35.22403228,139.6727653,1.008,3.7900925,1626171089000,2021-07-13T19:11:29GMT+09:00
19:11:30.021,19:11:30.021,true,35.22403037,139.67276507,0.99,3.7900925,1626171090000,2021-07-13T19:11:30GMT+09:00
19:11:31.025,19:11:31.025,true,35.22403025,139.67276509,1.004,3.7900925,1626171091000,2021-07-13T19:11:31GMT+09:00
19:11:32.031,19:11:32.031,true,35.22403191,139.67276588,1.006,3.7900925,1626171092000,2021-07-13T19:11:32GMT+09:00
19:11:33.022,19:11:33.022,true,35.22403316,139.67276616,0.991,3.7900925,1626171093000,2021-07-13T19:11:33GMT+09:00
19:11:34.031,19:11:34.031,true,35.22403445,139.6727647,1.009,3.7900925,1626171094000,2021-07-13T19:11:34GMT+09:00
19:11:35.029,19:11:35.029,true,35.22403597,139.67276132,0.998,3.7900925,1626171095000,2021-07-13T19:11:35GMT+09:00
19:11:36.034,19:11:36.034,true,35.22403928,139.67276073,1.005,3.7900925,1626171096000,2021-07-13T19:11:36GMT+09:00
19:11:37.026,19:11:37.026,true,35.22403999,139.67276199,0.992,3.7900925,1626171097000,2021-07-13T19:11:37GMT+09:00
19:11:38.023,19:11:38.023,true,35.22404209,139.67276317,0.997,3.7900925,1626171098000,2021-07-13T19:11:38GMT+09:00
19:11:39.022,19:11:39.022,true,35.22404422,139.67276557,0.999,3.7900925,1626171099000,2021-07-13T19:11:39GMT+09:00
19:11:40.026,19:11:40.026,true,35.22404562,139.6727685,1.004,3.7900925,1626171100000,2021-07-13T19:11:40GMT+09:00
19:11:41.020,19:11:41.020,true,35.22404668,139.6727715,0.994,3.7900925,1626171101000,2021-07-13T19:11:41GMT+09:00
19:11:42.032,19:11:42.032,true,35.22404395,139.67277293,1.012,3.7900925,1626171102000,2021-07-13T19:11:42GMT+09:00
19:11:43.023,19:11:43.023,true,35.22404157,139.67277315,0.991,3.7900925,1626171103000,2021-07-13T19:11:43GMT+09:00
19:11:44.025,19:11:44.025,true,35.2240403,139.67277319,1.002,3.7900925,1626171104000,2021-07-13T19:11:44GMT+09:00
19:11:45.021,19:11:45.021,true,35.22403965,139.67277212,0.996,3.7900925,1626171105000,2021-07-13T19:11:45GMT+09:00
19:11:46.026,19:11:46.026,true,35.22403882,139.67277179,1.005,3.7900925,1626171106000,2021-07-13T19:11:46GMT+09:00
19:11:47.024,19:11:47.024,true,35.22403896,139.67277128,0.998,3.7900925,1626171107000,2021-07-13T19:11:47GMT+09:00
19:11:48.027,19:11:48.027,true,35.224038,139.67277042,1.003,3.7900925,1626171108000,2021-07-13T19:11:48GMT+09:00
19:11:49.023,19:11:49.023,true,35.22403645,139.67276934,0.996,3.7900925,1626171109000,2021-07-13T19:11:49GMT+09:00
19:11:50.029,19:11:50.029,true,35.2240355,139.67276844,1.006,3.7900925,1626171110000,2021-07-13T19:11:50GMT+09:00
19:11:51.026,19:11:51.026,true,35.2240348,139.67276799,0.997,3.7900925,1626171111000,2021-07-13T19:11:51GMT+09:00
19:11:52.027,19:11:52.027,true,35.22403457,139.67276773,1.001,3.7900925,1626171112000,2021-07-13T19:11:52GMT+09:00
19:11:53.027,19:11:53.027,true,35.22403453,139.6727677,1.0,3.7900925,1626171113000,2021-07-13T19:11:53GMT+09:00
19:11:54.024,19:11:54.024,true,35.2240345,139.67276774,0.997,3.7900925,1626171114000,2021-07-13T19:11:54GMT+09:00
19:11:55.047,19:11:55.047,true,35.22403448,139.6727678,1.023,3.7900925,1626171115000,2021-07-13T19:11:55GMT+09:00
19:11:56.023,19:11:56.023,true,35.22403446,139.67276783,0.976,3.7900925,1626171116000,2021-07-13T19:11:56GMT+09:00
19:11:57.022,19:11:57.022,true,35.22403445,139.67276787,0.999,3.7900925,1626171117000,2021-07-13T19:11:57GMT+09:00
19:11:58.045,19:11:58.045,true,35.22403445,139.6727679,1.023,3.7900925,1626171118000,2021-07-13T19:11:58GMT+09:00
19:11:59.022,19:11:59.022,true,35.22403444,139.67276794,0.977,3.7900925,1626171119000,2021-07-13T19:11:59GMT+09:00
19:12:00.039,19:12:00.039,true,35.22403441,139.67276796,1.017,3.7900925,1626171120000,2021-07-13T19:12:00GMT+09:00
19:12:01.028,19:12:01.028,true,35.22403438,139.67276797,0.989,3.7900925,1626171121000,2021-07-13T19:12:01GMT+09:00
19:12:02.042,19:12:02.042,true,35.22403435,139.672768,1.014,3.7900925,1626171122000,2021-07-13T19:12:02GMT+09:00
19:12:03.019,19:12:03.019,true,35.2240343,139.67276804,0.977,3.7900925,1626171123000,2021-07-13T19:12:03GMT+09:00
19:12:04.026,19:12:04.026,true,35.22403425,139.67276806,1.007,3.7900925,1626171124000,2021-07-13T19:12:04GMT+09:00
19:12:05.022,19:12:05.022,true,35.22403419,139.6727681,0.996,3.7900925,1626171125000,2021-07-13T19:12:05GMT+09:00
19:12:06.022,19:12:06.022,true,35.22403413,139.67276812,1.0,3.8716052,1626171126000,2021-07-13T19:12:06GMT+09:00
19:12:06.999,19:12:06.999,true,35.22403409,139.67276814,0.977,3.866763,1626171127000,2021-07-13T19:12:07GMT+09:00
19:12:08.017,19:12:08.017,true,35.22403405,139.67276817,1.018,4.138706,1626171128000,2021-07-13T19:12:08GMT+09:00
19:12:09.004,19:12:09.004,true,35.22403401,139.67276819,0.987,4.6349106,1626171129000,2021-07-13T19:12:09GMT+09:00
19:12:10.000,19:12:10.000,true,35.22403398,139.67276821,0.996,4.9833593,1626171130000,2021-07-13T19:12:10GMT+09:00
19:12:10.998,19:12:10.998,true,35.22403394,139.67276823,0.998,5.3172307,1626171131000,2021-07-13T19:12:11GMT+09:00
19:12:12.005,19:12:12.005,true,35.22403392,139.67276825,1.007,5.5727053,1626171132000,2021-07-13T19:12:12GMT+09:00
19:12:13.003,19:12:13.003,true,35.22403389,139.67276827,0.998,5.7722683,1626171133000,2021-07-13T19:12:13GMT+09:00
19:12:14.008,19:12:14.008,true,35.22403386,139.6727683,1.005,6.0600405,1626171134000,2021-07-13T19:12:14GMT+09:00
19:12:15.009,19:12:15.009,true,35.22403384,139.67276832,1.001,6.3180313,1626171135000,2021-07-13T19:12:15GMT+09:00
19:12:16.011,19:12:16.011,true,35.22403382,139.67276833,1.002,5.833455,1626171136000,2021-07-13T19:12:16GMT+09:00
19:12:17.015,19:12:17.015,true,35.22403381,139.67276833,1.004,5.499498,1626171137000,2021-07-13T19:12:17GMT+09:00
19:12:18.006,19:12:18.006,true,35.22403379,139.67276825,0.991,5.263642,1626171138000,2021-07-13T19:12:18GMT+09:00
19:12:19.006,19:12:19.006,true,35.22403377,139.67276814,1.0,5.1057453,1626171139000,2021-07-13T19:12:19GMT+09:00
19:12:20.001,19:12:20.001,true,35.22403375,139.67276805,0.995,5.0692067,1626171140000,2021-07-13T19:12:20GMT+09:00
19:12:21.008,19:12:21.008,true,35.22403374,139.67276801,1.007,4.9922576,1626171141000,2021-07-13T19:12:21GMT+09:00
19:12:22.002,19:12:22.002,true,35.22403373,139.67276799,0.994,5.252627,1626171142000,2021-07-13T19:12:22GMT+09:00
19:12:23.010,19:12:23.010,true,35.22403373,139.67276797,1.008,5.407853,1626171143000,2021-07-13T19:12:23GMT+09:00
19:12:23.999,19:12:23.999,true,35.22403373,139.67276797,0.989,5.471002,1626171144000,2021-07-13T19:12:24GMT+09:00
19:12:25.008,19:12:25.008,true,35.22403373,139.67276796,1.009,5.604153,1626171145000,2021-07-13T19:12:25GMT+09:00
19:12:25.997,19:12:25.997,true,35.22403373,139.67276796,0.989,5.558121,1626171146000,2021-07-13T19:12:26GMT+09:00
19:12:27.008,19:12:27.008,true,35.22403372,139.67276795,1.011,5.415751,1626171147000,2021-07-13T19:12:27GMT+09:00
19:12:27.996,19:12:27.996,true,35.22403371,139.67276796,0.988,5.067892,1626171148000,2021-07-13T19:12:28GMT+09:00
19:12:29.028,19:12:29.028,true,35.224034,139.67276767,1.032,4.8176346,1626171149000,2021-07-13T19:12:29GMT+09:00
19:12:30.019,19:12:30.019,true,35.22403355,139.67276665,0.991,4.5191426,1626171150000,2021-07-13T19:12:30GMT+09:00
19:12:31.033,19:12:31.033,true,35.22403247,139.67276473,1.014,4.302255,1626171151000,2021-07-13T19:12:31GMT+09:00
19:12:32.017,19:12:32.017,true,35.22403173,139.67276138,0.984,4.1847205,1626171152000,2021-07-13T19:12:32GMT+09:00
19:12:33.022,19:12:33.022,true,35.2240311,139.67275769,1.005,4.0591373,1626171153000,2021-07-13T19:12:33GMT+09:00
19:12:34.024,19:12:34.024,true,35.22403043,139.67275355,1.002,3.9577706,1626171154000,2021-07-13T19:12:34GMT+09:00
19:12:35.025,19:12:35.025,true,35.22402948,139.67275131,1.001,3.94325,1626171155000,2021-07-13T19:12:35GMT+09:00
19:12:36.017,19:12:36.017,true,35.22402878,139.67274887,0.992,3.816179,1626171156000,2021-07-13T19:12:36GMT+09:00
19:12:37.024,19:12:37.024,true,35.22402859,139.67274789,1.007,3.8316994,1626171157000,2021-07-13T19:12:37GMT+09:00
19:12:38.025,19:12:38.025,true,35.22402778,139.67274788,1.001,3.7965682,1626171158000,2021-07-13T19:12:38GMT+09:00
19:12:39.023,19:12:39.023,true,35.22402737,139.67274782,0.998,3.7900925,1626171159000,2021-07-13T19:12:39GMT+09:00
19:12:40.020,19:12:40.020,true,35.22402707,139.67274778,0.997,3.7900925,1626171160000,2021-07-13T19:12:40GMT+09:00
19:12:41.022,19:12:41.022,true,35.22402689,139.67274774,1.002,3.7945068,1626171161000,2021-07-13T19:12:41GMT+09:00
19:12:42.020,19:12:42.020,true,35.22402673,139.67274774,0.998,3.7917862,1626171162000,2021-07-13T19:12:42GMT+09:00
19:12:43.026,19:12:43.026,true,35.22402663,139.67274773,1.006,3.8871315,1626171163000,2021-07-13T19:12:43GMT+09:00
